Descriptor;Correlation coefficient;P-value;;;;;;;;;;;;;;;;;;
exactmw;0.226143483983913;8.379104e-04;;;;;;;;;;;;;;;;;;
amw;0.225462379748969;8.696110e-04;;;;;;;;;;;;;;;;;;
lipinskiHBA;0.303628655577315;5.798562e-06;;;;;;;;;;;;;;;;;;
lipinskiHBD;0.453918607054107;2.518874e-12;;;;;;;;;;;;;;;;;;
NumRotatableBonds;0.11902987037973;8.162365e-02;;;;;;;;;;;;;;;;;;
NumHBD;0.483236503406805;5.573320e-14;;;;;;;;;;;;;;;;;;
NumHBA;0.381714785917713;7.253396e-09;;;;;;;;;;;;;;;;;;
NumHeavyAtoms;0.226859664310203;8.057279e-04;;;;;;;;;;;;;;;;;;
NumAtoms;0.265307330512759;8.206095e-05;;;;;;;;;;;;;;;;;;
NumHeteroatoms;0.258934356182223;1.228883e-04;;;;;;;;;;;;;;;;;;
NumAmideBonds;-0.275419674332832;4.233164e-05;;;;;;;;;;;;;;;;;;
FractionCSP3;0.407217678930798;5.390175e-10;;;;;;;;;;;;;;;;;;
NumRings;0.202146593150577;2.905406e-03;;;;;;;;;;;;;;;;;;
NumAromaticRings;-0.423542329951807;9.061951e-11;;;;;;;;;;;;;;;;;;
NumAliphaticRings;0.413311446295045;2.801550e-10;;;;;;;;;;;;;;;;;;
NumSaturatedRings;0.410221026661661;3.910623e-10;;;;;;;;;;;;;;;;;;
NumHeterocycles;0.106321590201088;1.201126e-01;;;;;;;;;;;;;;;;;;
NumAromaticHeterocycles;-0.124096668514805;6.936533e-02;;;;;;;;;;;;;;;;;;
NumSaturatedHeterocycles;0.277425856707478;3.700636e-05;;;;;;;;;;;;;;;;;;
NumAliphaticHeterocycles;0.244916832982592;2.882629e-04;;;;;;;;;;;;;;;;;;
NumSpiroAtoms;0.562398317936846;0.000000e+00;;;;;;;;;;;;;;;;;;
NumBridgeheadAtoms;-0.0105449320685524;8.778290e-01;;;;;;;;;;;;;;;;;;
NumAtomStereoCenters;0.511342733649831;8.881784e-16;;;;;;;;;;;;;;;;;;
NumUnspecifiedAtomStereoCenters;0.444721625400878;7.739587e-12;;;;;;;;;;;;;;;;;;
labuteASA;0.235521803920347;4.969167e-04;;;;;;;;;;;;;;;;;;
tpsa;0.36628664697193;3.147948e-08;;;;;;;;;;;;;;;;;;
CrippenClogP;-0.414937904406473;2.347318e-10;;;;;;;;;;;;;;;;;;
CrippenMR;0.205235585354654;2.494080e-03;;;;;;;;;;;;;;;;;;
chi0v;0.240736807027343;3.682596e-04;;;;;;;;;;;;;;;;;;
chi1v;0.251256531167759;1.972119e-04;;;;;;;;;;;;;;;;;;
chi2v;0.364836500908013;3.599547e-08;;;;;;;;;;;;;;;;;;
chi3v;0.364836500908013;3.599547e-08;;;;;;;;;;;;;;;;;;
chi4v;0.391718385492966;2.686112e-09;;;;;;;;;;;;;;;;;;
chi0n;0.23291241159169;5.758795e-04;;;;;;;;;;;;;;;;;;
chi1n;0.235135929669574;5.079249e-04;;;;;;;;;;;;;;;;;;
chi2n;0.312794018608476;2.902060e-06;;;;;;;;;;;;;;;;;;
chi3n;0.312794018608476;2.902060e-06;;;;;;;;;;;;;;;;;;
chi4n;0.335183664421981;4.842698e-07;;;;;;;;;;;;;;;;;;
hallKierAlpha;0.242619987676067;3.299610e-04;;;;;;;;;;;;;;;;;;
kappa1;0.26883800471201;6.532169e-05;;;;;;;;;;;;;;;;;;
kappa2;0.219504642010301;1.197790e-03;;;;;;;;;;;;;;;;;;
kappa3;0.134853566833455;4.828581e-02;;;;;;;;;;;;;;;;;;
Phi;0.282327727942741;2.652764e-05;;;;;;;;;;;;;;;;;;